,title,roleId,companyName,salary,workType,isPrivateAdvertiser,listingDate,isPremium,isStandOut,suburb,suburbWhereValue,classification.id,classification.description,subClassification.id,subClassification.description,advertiser.id,advertiser.description
116,Data Scientist (Machine Learning & AI),data-scientist,Australian Institute of Marine Science,"$136,089 to $153,351 per annum, plus 15.4% super",Full time,False,2024-07-12T05:26:51Z,False,True,Townsville,Townsville QLD 4810,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",22262609,Australian Institute of Marine Science
117,Data Analyst,data-analyst,Motion Recruitment,,Contract/Temp,False,2024-07-03T05:47:13Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,31436089,Motion Recruitment
118,Senior Data Reporting Analyst,data-reporting-analyst,AAR Consulting Group,"$150,000",Full time,False,2024-06-17T05:58:06Z,False,True,Sydney Olympic Park,Sydney Olympic Park NSW 2127,6281,Information & Communication Technology,6286,Database Development & Administration,21088987,AAR Consulting Group P/L
119,Data Quality Analyst,data-quality-analyst,Suncare Community Services,,Full time,False,2024-07-11T01:34:46Z,False,True,Maroochydore,Maroochydore QLD 4558,6281,Information & Communication Technology,6283,Business/Systems Analysts,22443591,Suncare Community Services Ltd
120,Data Analyst / Programmer,analyst-programmer,HR4Business,,Part time,False,2024-06-30T07:19:06Z,False,False,Geelong,Geelong VIC 3220,6281,Information & Communication Technology,6286,Database Development & Administration,28086031,HR4Business
121,Data Engineer,data-engineer,Alinta Energy,Great package with annual bonus,Full time,False,2024-07-04T23:55:55Z,False,True,Melbourne,Melbourne VIC 3004,6281,Information & Communication Technology,6290,Engineering - Software,25872803,Alinta Energy
122,Business Process Analyst,business-process-analyst,Bridgestone Australia,Competitive Salary + Employee Benefits,Full time,False,2024-06-26T06:05:57Z,False,True,Eastwood,Eastwood SA 5063,6076,Consulting & Strategy,6077,Analysts,2802584,Bridgestone Australia Ltd.
123,Senior Data Engineer,data-engineer,Illawarra Shoalhaven Local Health District,"$124,152 - $140,163",Full time,False,2024-07-11T00:03:52Z,False,False,Wollongong,Wollongong NSW 2500,6281,Information & Communication Technology,6291,Help Desk & IT Support,26918853,Illawarra Shoalhaven Local Health District
124,Data Scientist,data-scientist,Compas,,Contract/Temp,False,2024-06-26T03:58:05Z,False,True,Canberra,Canberra ACT 2600,6281,Information & Communication Technology,6286,Database Development & Administration,31127394,Compas Pty Ltd
125,Data Analyst,data-analyst,Talent International,ASAP start | Brand new role,Full time,False,2024-06-19T06:16:33Z,False,True,Bentleigh,Bentleigh VIC 3204,6281,Information & Communication Technology,6283,Business/Systems Analysts,23607543,"Talent – Specialists in tech, transformation & beyond"
126,Senior BI Analyst,business-intelligence-analyst,Talent Insights Group,,Full time,False,2024-06-24T02:16:44Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6303,Other,37079664,Talent Insights Group Pty Ltd
127,Data and Reporting Analyst,data-and-reporting-analyst,U&U Recruitment Partners,,Full time,False,2024-06-24T07:09:05Z,False,True,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6283,Business/Systems Analysts,25421433,u&u. Recruitment Partners
128,Data Analyst,data-analyst,Launch Recruitment,,Contract/Temp,False,2024-07-09T00:12:35Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,21359175,Launch Recruitment Pty Ltd
129,People Data & Analytics Business Partner,business-partner,AHPRA,"Attractive salary of $113,718 per annum plus Super",Full time,False,2024-07-04T04:36:22Z,False,True,Melbourne,Melbourne VIC 3000,6317,Human Resources & Recruitment,6328,Other,24833420,Australian Health Practitioner Regulation Agency
130,BI Analyst,business-intelligence-analyst,BaptistCare NSW & ACT,Generous salary on offer + NFP salary packaging,Full time,False,2024-06-18T08:48:59Z,False,True,Norwest,Norwest NSW 2153,6281,Information & Communication Technology,6283,Business/Systems Analysts,2163436,BaptistCare
131,Data Scientist,data-scientist,S2M,$110k - $140k Package,Full time,False,2024-06-26T02:00:34Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,21137338,S2M
132,Product Manager - Data,product-manager,The Iconic,,Full time,False,2024-07-15T03:06:59Z,True,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6294,Product Management & Development,27069831,THE ICONIC
133,Mission Assurance and Orbital Analytics Manager,analytics-manager,Equatorial Launch Australia,"$120,000 – $150,000 per year",Full time,False,2024-07-08T22:57:37Z,True,True,Adelaide,Adelaide SA 5000,1209,Engineering,6022,Aerospace Engineering,400252848,Equatorial Launch Australia
134,Data Support Analyst (Excel Specialist) ,excel-specialist,Milestone Information Technology,,Contract/Temp,False,2024-06-25T02:59:21Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6283,Business/Systems Analysts,20853291,Milestone Information Technology
135,Data Analytic Manager (Systems),data-analytics-manager,Wabtec Corporation,,Full time,False,2024-07-14T08:18:25Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6292,Management,41145520,Wabtec Australia
136,GIS Support Analyst,support-analyst,SA Water,,Full time,False,2024-07-09T05:33:32Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6286,Database Development & Administration,22062501,SA Water
137,Senior Business Analyst,business-analyst,South Australia Police,"$106,512 – $115,137 per year",Full time,False,2024-07-11T07:00:02Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6297,Security,26630173,South Australia Police
138,Business Analyst,business-analyst,Workpac Group,$79.33 per hour,Casual/Vacation,False,2024-07-04T22:50:06Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,20733028,WorkPac - Adelaide
139,Research Engineer - Machine Learning,machine-learning-engineer,Lockheed Martin,,Full time,False,2024-07-11T08:11:08Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6290,Engineering - Software,12001160,Lockheed Martin Australia
140,Sales Analyst,sales-analyst,Sharp and Carter,,Full time,False,2024-07-15T03:08:58Z,False,True,Brisbane,Brisbane QLD 4000,1200,Accounting,6158,Strategy & Planning,48226957,Sharp & Carter Finance & Accounting Brisbane
141,Data Analyst ,data-analyst,Talent International,$600 - $700 p.d.,Contract/Temp,False,2024-06-25T06:22:26Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6286,Database Development & Administration,23607501,"Talent – Specialists in tech, transformation & beyond"
142,Data Quality Analyst,data-quality-analyst,Exclaim IT,Daily Market Rates,Contract/Temp,False,2024-07-12T05:43:28Z,False,True,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6283,Business/Systems Analysts,21469508,Exclaim IT
143,Business and System Analyst,systems-analyst,Resthaven,Base Salary + Super + Salary Sacrifice ,Full time,False,2024-06-26T00:17:33Z,False,True,Wayville,Wayville SA 5034,6281,Information & Communication Technology,6283,Business/Systems Analysts,7506245,Resthaven Inc.
144,Business Analyst,business-analyst,Talent International,,Full time,False,2024-07-04T05:27:23Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,23607483,"Talent – Specialists in tech, transformation & beyond"
145,Data Analyst,data-analyst,Parliament of Victoria,"$74,580 - $90,558",Contract/Temp,False,2024-07-03T02:36:39Z,False,True,East Melbourne,East Melbourne VIC 3002,6281,Information & Communication Technology,6283,Business/Systems Analysts,21014692,Parliament of Victoria
146,Senior Data Scientist,data-scientist,RAA,,Full time,False,2024-07-09T01:09:02Z,False,True,Adelaide,Adelaide SA 5000,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",8676914,RAA
147,Data Specialist APS5,data-specialist,HorizonOne Recruitment,$80k- $90k + 15.4% Super,Full time,False,2024-07-12T02:53:04Z,False,True,Canberra,Canberra ACT 2600,1210,Government & Defence,1409,Government - Federal,23444011,HorizonOne Recruitment
148,Principal / Senior Consultant - Data & Analytics,data-analytics-consultant,,,Full time,False,2024-07-01T23:57:36Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6285,Consultants,43569417,Lucid Insights
149,Delivery Systems Developer,systems-developer,SA Water,,Full time,False,2024-07-09T06:28:44Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6287,Developers/Programmers,22062501,SA Water
150,Solution Architect (Data),solutions-architect,People's Choice Credit Union,,Full time,False,2024-07-10T01:24:27Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6282,Architects,20177329,Heritage and People's Choice
151,Data Analyst,data-analyst,Best & Less,,Full time,False,2024-07-02T03:12:37Z,False,True,Rhodes,Rhodes NSW 2138,6076,Consulting & Strategy,6077,Analysts,20074095,Best & Less
152,Technical Business Analyst - Workflow,technical-business-analyst,M&T Resources,Excellent Salary & Benefits,Full time,False,2024-07-15T02:23:24Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,29872850,M&T Resources
153,Senior Test Analyst - Data & SQL,data-analyst,Halcyon Knights,AUD 62 - 65 per hour,Contract/Temp,False,2024-06-27T03:39:05Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6301,Testing & Quality Assurance,22319711,Halcyon Knights Pty Ltd
154,Commercial Analyst,commercial-analyst,Perigon Group,$110-130K plus super,Full time,False,2024-07-12T09:30:14Z,True,True,Mascot,Mascot NSW 2020,1200,Accounting,6143,Analysis & Reporting,25502044,Perigon Group Pty Limited
155,Product Manager,product-manager,,,Full time,False,2024-07-11T04:41:41Z,True,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6294,Product Management & Development,38870598,Cortex Interactive
156,Data and Systems Analyst,systems-analyst,Randstad,"$113,950 to $128,286.97 + super",Full time,False,2024-06-27T02:08:52Z,False,False,Ashfield,Ashfield NSW 2131,6281,Information & Communication Technology,6283,Business/Systems Analysts,26537413,Randstad Digital
157,Data Scientist (Machine Learning & AI),data-scientist,Australian Institute of Marine Science,"$136,089 to $153,351 per annum, plus 15.4% super",Full time,False,2024-07-12T05:26:32Z,False,True,Perth,Perth WA 6000,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",22262609,Australian Institute of Marine Science
158,Data Steward,data-steward,ASIC,,Contract/Temp,False,2024-07-05T07:02:09Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6286,Database Development & Administration,24680132,ASIC
159,Data Analyst,data-analyst,Sirius People,AUD 80000 - 100000 per annum,Full time,False,2024-06-20T01:53:06Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,24101490,Sirius Technology Sydney part of Sirius People Pty Ltd
160,Commercial Analyst,commercial-analyst,Toll Group,,Full time,False,2024-07-10T03:32:17Z,False,True,Adelaide,Adelaide SA 5000,6092,"Manufacturing, Transport & Logistics",6095,Analysis & Reporting,61911987,Toll Group
161,Group Data Analyst,data-analyst,InvoCare,Competitive salary and benefits,Full time,False,2024-07-05T05:50:31Z,False,True,North Sydney,North Sydney NSW 2060,6281,Information & Communication Technology,6283,Business/Systems Analysts,21183172,InvoCare Australia Pty Limited
162,Data Engineer | Great Flexible team culture | Multiple Roles (Senior & Junior),data-engineer,,,Contract/Temp,False,2024-06-18T00:03:14Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6287,Developers/Programmers,400263209,Bi3 Technologies
163,Data Analytics Lead - Credit Risk,analytics-lead,Robert Walters,,Full time,False,2024-07-11T05:21:33Z,False,True,Sydney,Sydney NSW 2000,1203,Banking & Financial Services,6177,Banking - Business,45669036,Robert Walters
164,Technical Business Analyst,technical-business-analyst,Redwolf + Rosch,,Full time,False,2024-06-19T01:24:49Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,36388429,Redwolf + Rosch
165,PowerBI Developer,power-bi-developer,Major Road Projects Victoria,106534 128897 AUD,Full time,False,2024-07-11T07:15:13Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6287,Developers/Programmers,39483900,Major Road Projects Victoria
166,Data Modeller,data-modeller,,$90 – $105 per hour,Contract/Temp,False,2024-07-02T13:56:10Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6286,Database Development & Administration,43785629,KinetIQ
167,Data Analyst,data-analyst,Centurion,Attractive Salary + Super + Employee benefits,Full time,False,2024-06-19T22:35:51Z,False,True,Perth Airport,Perth Airport WA 6105,6281,Information & Communication Technology,6286,Database Development & Administration,26080456,Centurion
168,Database Analyst,database-analyst,WH Smith,,Full time,False,2024-07-11T01:31:23Z,False,True,Woolloomooloo,Woolloomooloo NSW 2011,6281,Information & Communication Technology,6286,Database Development & Administration,26837233,WH Smith Australia
169,Data Scientist,data-scientist,,,Full time,False,2024-06-19T05:01:19Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,62423125,ACCIONA COBRA JV
170,Data Reporting and Analysis Specialist,specialist,Sydney International School of Technology and Commerce,,Full time,False,2024-07-03T05:42:08Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,61269892,Sydney International School of Technology and Commerce
171,Data Scientist,data-scientist,Blackroc,Market Rates,Contract/Temp,False,2024-07-09T23:36:18Z,False,True,,,6281,Information & Communication Technology,6303,Other,39934051,BLACKROC
172,Business Analyst | Journey Beyond,business-analyst,Journey Beyond,WFH Fridays| Full Time,Full time,False,2024-07-02T04:42:06Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,37836635,Journey Beyond
173,Data Analyst (Compliance),compliance-analyst,Auto & General,,Full time,False,2024-07-11T04:38:22Z,False,True,Toowong,Toowong QLD 4066,6281,Information & Communication Technology,6303,Other,20791446,Auto & General
174,Data Engineer,data-engineer,Mcnab Constructions,,Contract/Temp,False,2024-07-07T23:20:22Z,False,True,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6290,Engineering - Software,19071273,McNab Constructions Australia Pty Ltd
175,Data Analyst,data-analyst,Luerssen,,Full time,False,2024-07-01T05:44:59Z,False,True,Henderson,Henderson WA 6166,6281,Information & Communication Technology,6286,Database Development & Administration,40143493,Luerssen Australia Pty Ltd
176,Senior Data Analyst,data-analyst,Origin Energy,,Full time,False,2024-07-12T04:55:19Z,True,True,Barangaroo,Barangaroo NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,21994134,Origin
177,Transport Data Analyst,data-analyst,Metro Tasmania,,Full time,False,2024-07-12T05:21:15Z,True,True,Hobart,Hobart TAS 7000,6092,"Manufacturing, Transport & Logistics",6095,Analysis & Reporting,25755658,Metro Tasmania Pty Ltd
178,EL2 Director Data Operations and Products,director,Comcare,"$149,044 - $169,128 plus 15.4% Superannuation",Full time,False,2024-07-14T23:17:44Z,False,True,Melbourne,Melbourne VIC 3000,1210,Government & Defence,1409,Government - Federal,20885930,Comcare
179,EL2 Director Data Operations and Products,director,Comcare,"$149,044 - $169,128 plus 15.4% Superannuation",Full time,False,2024-07-14T23:17:46Z,False,True,Canberra,Canberra ACT 2600,1210,Government & Defence,1409,Government - Federal,20885930,Comcare
180,Data Analyst,data-analyst,HorizonOne Recruitment,$85k - $107k + 15.4% super,Full time,False,2024-07-04T06:32:04Z,False,False,Canberra,Canberra ACT 2600,1210,Government & Defence,1409,Government - Federal,23444011,HorizonOne Recruitment
181,Senior Data Engineer,data-engineer,,"$98,478 – $104,165 per year",Full time,False,2024-07-12T03:59:24Z,False,True,Adelaide,Adelaide SA 5000,6251,Administration & Office Support,6260,Other,39815067,Department for Housing and Urban Development
182,Data Support Analyst (Excel Specialist),excel-specialist,Milestone Information Technology,,Contract/Temp,False,2024-07-03T00:41:33Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6283,Business/Systems Analysts,20853291,Milestone Information Technology
183,"Junior Data Engineer  - Broadbeach, QLD",data-engineer,Flight Centre Travel Group,,Full time,False,2024-07-10T23:02:18Z,False,True,Broadbeach,Broadbeach QLD 4218,6281,Information & Communication Technology,6290,Engineering - Software,35725927,Flight Centre Travel Group
184,Data Analyst,data-analyst,WA Police,"Level 5, $96,307 - $105,254 p.a. (PSCSAA 2022)",Full time,False,2024-07-11T04:43:37Z,False,False,Perth,Perth WA 6000,6281,Information & Communication Technology,6283,Business/Systems Analysts,23921185,Western Australia Police
185,Graduate Data Scientist | Artificial Intelligence,data-scientist,PwC,,Full time,False,2024-07-10T01:56:07Z,False,True,Adelaide,Adelaide SA 5000,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",2798,PwC
186,"Senior Intelligence Analyst, Multiple Roles",intelligence-analyst,Services Australia,,Full time,False,2024-07-08T22:54:01Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,20650378,Services Australia
187,Data Analyst,data-analyst,Macquarie University,$108391 - $117519 p.a. + leave loading and 17% sup,Contract/Temp,False,2024-07-10T05:34:28Z,False,True,North Ryde,North Ryde NSW 2113,6123,Education & Training,6139,Other,28800385,Macquarie University
188,Senior Power BI Developer,power-bi-developer,The Recruitment Company,Work from  home or the gorgeous office,Contract/Temp,False,2024-07-14T20:12:18Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6287,Developers/Programmers,34308753,The Recruitment Company
189,Graduate Data Analyst,data-analyst,Sapphire Recruitment,$65-70k + Super,Full time,False,2024-07-03T07:22:11Z,False,False,Eagle Farm,Eagle Farm QLD 4009,6281,Information & Communication Technology,6283,Business/Systems Analysts,27955801,Sapphire Recruitment
190,Sales Analyst,sales-analyst,Sharp and Carter,,Full time,False,2024-07-15T03:03:57Z,False,True,Brisbane,Brisbane QLD 4000,6362,Sales,6364,Analysis & Reporting,48226957,Sharp & Carter Finance & Accounting Brisbane
191,Junior Data Consultant,data-consultant,,"$70,000 – $85,000 per year",Full time,False,2024-07-13T07:44:53Z,False,False,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6290,Engineering - Software,400205633,Bhalekar Pty Ltd
192,Business Analyst,business-analyst,Medical Insurance Group Australia,,Full time,False,2024-07-02T02:30:07Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,23663245,Medical Insurance Group Australia
193,Data Analyst,data-analyst,Northern Territory PHN,+ Super,Full time,False,2024-07-08T06:47:37Z,False,True,Darwin,Darwin NT 0800,6281,Information & Communication Technology,6283,Business/Systems Analysts,28456351,Northern Territory PHN
194,Senior Data Analyst,data-analyst,Talenza,$900 - $960 p.d.,Contract/Temp,False,2024-07-11T01:54:37Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6303,Other,37849505,Talenza
195,Agile Business Analyst and Scrum Master,agile-business-analyst,South Australian Certificate of Education,"$97,022 - $102,626 per annum plus superannuation",Full time,False,2024-07-10T00:27:50Z,False,True,Adelaide,Adelaide SA 5000,6076,Consulting & Strategy,6083,Other,25232781,SACE Board of South Australia
196,Data Analytic Manager (Systems),data-analytics-manager,Wabtec Corporation,,Full time,False,2024-07-14T08:19:00Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6292,Management,41145520,Wabtec Australia
197,Data Analytics Specialist,data-analytics-specialist,Essential Energy,"16% super, 9-day fortnight",Full time,False,2024-07-12T01:10:14Z,False,True,Port Macquarie,Port Macquarie NSW 2444,6281,Information & Communication Technology,6283,Business/Systems Analysts,20753684,Essential Energy
198,Senior Developer - Azure Data and AI,developer,XAM Consulting Pty Limited,,Full time,False,2024-07-11T09:23:02Z,True,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6287,Developers/Programmers,33480586,XAM Consulting Pty Limited
199,Process Improvement Analyst,process-improvement-analyst,Gippsland Water,"$82,241 – $94,003 per year",Full time,False,2024-07-03T23:51:48Z,True,True,Traralgon,Traralgon VIC 3844,6076,Consulting & Strategy,6077,Analysts,20914582,Gippsland Water
200,Lead Data Scientist,data-scientist,Total Resource Solutions,Up to $1000 p/d + super,Contract/Temp,False,2024-07-04T04:39:39Z,False,True,Alexandria,Alexandria NSW 2015,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",31300304,TRS - Public Sector
201,Senior Data Analyst,data-analyst,Department of Treasury QLD,"$127,842 - $136,895 p.a.",Full time,False,2024-07-04T03:47:18Z,False,True,Brisbane,Brisbane QLD 4000,1210,Government & Defence,1411,Government - State,28839448,Department of Queensland Treasury
202,Data Analyst,data-analyst,Environment Protection Authority Victoria,"$92,332 to $104,762",Full time,False,2024-07-05T04:45:19Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6283,Business/Systems Analysts,61688101,Environment Protection Authority Victoria
203,Senior Data Architect and Engineer,data-architect,,,Full time,False,2024-07-05T06:07:59Z,False,False,Perth,Perth WA 6000,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",47538457,VitalTrace Pty Ltd
204,"Graduate - Data, Strategy & Analytics",,RACV,"$76,935.00 Inc Superannuation",Full time,False,2024-06-17T05:47:58Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6283,Business/Systems Analysts,561090,RACV
205,Data Engineer,data-engineer,RSM,,Full time,False,2024-07-04T07:24:04Z,False,True,Perth,Perth WA 6000,6281,Information & Communication Technology,6290,Engineering - Software,860726,RSM
206,Senior Technical Business Analyst,technical-business-analyst,nib Group,,Full time,False,2024-07-15T02:25:40Z,False,True,Newcastle,Newcastle NSW 2300,6281,Information & Communication Technology,6290,Engineering - Software,1136010,nib health funds limited
207,Data Engineer/Analyst,data-engineer,Tecala Group,,Full time,False,2024-06-21T00:09:41Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6290,Engineering - Software,22984487,Tecala ICT Pty Limited
208,People Data and Document Management Lead,Document-Management-Lead,Brunel,,Contract/Temp,False,2024-06-28T03:15:14Z,False,True,Adelaide,Adelaide SA 5000,6058,"Mining, Resources & Energy",6071,Oil & Gas - Operations,45735020,Brunel
209,Publications Analyst - GIS,analyst,Department for Energy and Mining SA,"$75,430 - $79,070 per annum",Full time,False,2024-06-24T00:14:27Z,False,True,Adelaide,Adelaide SA 5000,1223,Science & Technology,6218,"Environmental, Earth & Geosciences",40095385,Department for Energy and Mining
210,Data Scientist ,data-scientist,Randstad,,Contract/Temp,False,2024-06-26T01:53:55Z,False,False,Canberra,Canberra ACT 2600,6281,Information & Communication Technology,6303,Other,26537413,Randstad Digital
211,Senior Data Scientist,data-scientist,Bluefin Resources,$135000.00 - $165000.00 p.a.,Full time,False,2024-07-08T10:49:04Z,False,False,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6283,Business/Systems Analysts,27705684,Bluefin Resources Pty Limited
212,Business Analyst,business-analyst,,,Contract/Temp,False,2024-07-14T13:15:34Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,400758508,Consolidated Food Co.
213,People Data & Analytics Business Partner,business-partner,AHPRA,"Attractive salary of $113,718 per annum plus Super",Full time,False,2024-07-04T04:25:41Z,False,True,Brisbane,Brisbane QLD 4000,6317,Human Resources & Recruitment,6323,Organisational Development,24833420,Australian Health Practitioner Regulation Agency
214,Technical Business Analyst/Data Analyst,technical-business-analyst,,$95 – $110 per hour,Contract/Temp,False,2024-07-02T14:04:55Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,43785629,KinetIQ
215,Power BI Developer,power-bi-developer,Experis,Negotiable day rate,Contract/Temp,False,2024-07-08T04:42:10Z,False,True,Brisbane,Brisbane QLD 4000,1210,Government & Defence,1409,Government - Federal,41900326,Experis AU
216,Business Analyst,business-analyst,Talent International,,Contract/Temp,False,2024-07-15T02:10:43Z,False,True,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6283,Business/Systems Analysts,23607467,"Talent – Specialists in tech, transformation & beyond"
217,Agriculture Data Analyst,data-analyst,Warakirri Asset Management,,Full time,False,2024-06-25T00:59:37Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6283,Business/Systems Analysts,28753053,Warakirri Asset Management Pty Ltd
218,Data Scientist,data-scientist,U&U Recruitment Partners,$74.00 - $83.13 per hour,Contract/Temp,False,2024-07-10T07:02:04Z,False,False,Brisbane,Brisbane QLD 4000,1210,Government & Defence,1411,Government - State,25421433,u&u. Recruitment Partners
219,Senior Customer Data Engineer,data-engineer,Correlate Resources,$900 per day inc super,Contract/Temp,False,2024-06-21T04:37:06Z,False,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6290,Engineering - Software,35398774,Correlate Resources
220,Regional Energy Analyst,energy-analyst,Nyrstar,,Full time,False,2024-07-11T06:15:54Z,True,True,Adelaide,Adelaide SA 5000,6058,"Mining, Resources & Energy",6059,Analysis & Reporting,26613615,Nyrstar Port Pirie Pty Ltd
221,Business Process Analyst,business-process-analyst,HomeStart Finance,,Full time,False,2024-07-09T23:48:34Z,True,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6283,Business/Systems Analysts,26720981,HomeStart
222,Regional Energy Analyst,energy-analyst,Nyrstar,,Full time,False,2024-07-11T06:15:54Z,False,True,Adelaide,Adelaide SA 5000,6058,"Mining, Resources & Energy",6059,Analysis & Reporting,26613615,Nyrstar Port Pirie Pty Ltd
223,Data Science Leader,leader,Aurecon,"WFH, or Office, or a mix of both",Part time,False,2024-06-27T23:31:37Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6285,Consultants,517583,Aurecon
224,Senior Power BI Developer | Data Insights Specialist | Hybrid,insights-specialist,Robert Half,$130k - $150k p.a. + Super,Full time,False,2024-07-10T06:39:47Z,False,False,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6303,Other,23070738,Robert Half
225,Senior Manager Data & Analytics Technology,data-analytics-manager,Scentre Group,,Full time,False,2024-07-01T04:40:31Z,False,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6292,Management,8513902,Scentre Group
226,Senior Business Analyst - BI/ Data,business-intelligence-business-analyst,Peoplebank,Daily rate up to $1100/day incl.,Contract/Temp,False,2024-07-10T08:06:17Z,False,True,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6283,Business/Systems Analysts,28936124,Peoplebank Australia QLD
227,Data Analyst (NV1/NV2 Clearance),data-analyst,Hays Recruitment,$85K - $95K + SUPER,Full time,False,2024-06-18T08:16:31Z,False,True,Edinburgh,Edinburgh SA 5111,6281,Information & Communication Technology,6283,Business/Systems Analysts,29318766,Hays | Technology
228,Transport Data Analyst,data-analyst,Metro Tasmania,,Full time,False,2024-07-12T05:21:15Z,False,True,Hobart,Hobart TAS 7000,6092,"Manufacturing, Transport & Logistics",6095,Analysis & Reporting,25755658,Metro Tasmania Pty Ltd
229,Data Analyst (Market Intelligence),data-analyst,ASIC,"Salary $75,838 - $107,911 depending on experience",Full time,False,2024-07-02T05:38:09Z,False,True,Sydney,Sydney NSW 2000,1203,Banking & Financial Services,6175,Analysis & Reporting,24680132,ASIC
230,Manager | Data Scientist | Artificial Intelligence,data-scientist,PwC,,Full time,False,2024-07-10T00:40:38Z,False,True,Adelaide,Adelaide SA 5000,6281,Information & Communication Technology,6290,Engineering - Software,2798,PwC
231,Data Analyst - work from home,data-analyst,,$60 – $70 per hour,Contract/Temp,False,2024-06-28T21:55:10Z,False,False,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6286,Database Development & Administration,37951684,Public Pathology Australia
232,Mission Assurance and Orbital Analytics Manager,analytics-manager,Equatorial Launch Australia,"$120,000 – $150,000 per year",Full time,False,2024-07-08T22:57:37Z,False,True,Adelaide,Adelaide SA 5000,1209,Engineering,6022,Aerospace Engineering,400252848,Equatorial Launch Australia
