,type,label,alias
4855,Referenceable Experience,Retirement Planning,financial-planner
4856,Referenceable Experience,Service-Oriented Architecture,financial-planner
4857,Referenceable Experience,Financial Modelling,financial-planner
4858,Referenceable Experience,Relationship Management,financial-planner
4859,Observable Attributes,Time Management,financial-planner
4860,Observable Attributes,Communication Skills,financial-planner
4861,Observable Attributes,Commercial Acumen,financial-planner
4862,Observable Attributes,Neat Personal Presentation,financial-planner
4863,Observable Attributes,Autonomy,financial-planner
4864,Observable Attributes,Thoroughness,financial-planner
4865,Observable Attributes,Written Communication,financial-planner
4866,Observable Attributes,Team Work,financial-planner
4867,Referenceable Experience,Microsoft Office,financial-planner
4868,Referenceable Experience,Customer Service,financial-planner
4869,Referenceable Experience,Spreadsheets,member-consultant
4870,Referenceable Experience,Retail Sales,member-consultant
4871,Referenceable Experience,Microsoft Office,member-consultant
4872,Observable Attributes,Goal Focused,member-consultant
4873,Observable Attributes,Time Management,member-consultant
4874,Observable Attributes,Self Motivation,member-consultant
4875,Observable Attributes,Thoroughness,member-consultant
4876,Observable Attributes,Organised,member-consultant
4877,Observable Attributes,Communication Skills,member-consultant
4878,Referenceable Experience,Mortgage Broking,lending-adviser
4879,Referenceable Experience,Loan Processing,lending-adviser
4880,Referenceable Experience,Lending,lending-adviser
4881,Referenceable Experience,Commercial Lending,lending-adviser
4882,Observable Attributes,Self Motivation,lending-adviser
4883,Observable Attributes,Written Communication,lending-adviser
4884,Observable Attributes,Commercial Acumen,lending-adviser
4885,Referenceable Experience,Microsoft Products,lending-adviser
4886,Referenceable Experience,Accreditation,lending-adviser
4887,Observable Attributes,Thoroughness,lending-adviser
4888,Observable Attributes,Communication Skills,lending-adviser
4889,Observable Attributes,Problem Solving,lending-adviser
4890,Observable Attributes,Autonomy,lending-adviser
4891,Observable Attributes,Time Management,lending-adviser
4892,Referenceable Experience,Financial Planning,advice-manager
4893,Referenceable Experience,Workplace Health,advice-manager
4894,Referenceable Experience,Technical Accounting,advice-manager
4895,Referenceable Experience,Commerce,advice-manager
4896,Observable Attributes,Communication Skills,advice-manager
4897,Referenceable Experience,Xplan Software,paraplanner
4898,Referenceable Experience,Financial Planning,paraplanner
4899,Referenceable Experience,Service-Oriented Architecture,paraplanner
4900,Verifiable Attainments,Rg146 Accreditation,paraplanner
4901,Referenceable Experience,Retirement Planning,paraplanner
4902,Observable Attributes,Thoroughness,paraplanner
4903,Referenceable Experience,Financial Services Industry,paraplanner
4904,Referenceable Experience,Microsoft Office,paraplanner
4905,Observable Attributes,Communication Skills,paraplanner
4906,Referenceable Experience,Researching,paraplanner
4907,Observable Attributes,Organised,paraplanner
4908,Observable Attributes,Autonomy,paraplanner
4909,Referenceable Experience,Analysis,paraplanner
4910,Observable Attributes,Time Management,paraplanner
4911,Observable Attributes,Self Motivation,paraplanner
4912,Observable Attributes,Problem Solving,paraplanner
4913,Observable Attributes,Written Communication,paraplanner
4914,Observable Attributes,Willingness to Learn,paraplanner
4915,Observable Attributes,Computer Literacy,paraplanner
4916,Referenceable Experience,Customer Resolution,remediation-manager
4917,Referenceable Experience,Wealth Management,remediation-manager
4918,Referenceable Experience,Environmental Engineering,remediation-manager
4919,Referenceable Experience,Customer Service,remediation-manager
4920,Referenceable Experience,Risk Assessment,remediation-manager
4921,Referenceable Experience,Aged Care,remediation-manager
4922,Verifiable Attainments,AHPRA Registration,remediation-manager
4923,Observable Attributes,Organised,remediation-manager
4924,Referenceable Experience,Leadership,remediation-manager
4925,Observable Attributes,Communication Skills,remediation-manager
4926,Referenceable Experience,Financial Planning,financial-adviser
4927,Referenceable Experience,Xplan Software,financial-adviser
4928,Verifiable Attainments,Rg146 Accreditation,financial-adviser
4929,Referenceable Experience,Wealth Management,financial-adviser
4930,Observable Attributes,Communication Skills,financial-adviser
4931,Observable Attributes,Customer Oriented,financial-adviser
4932,Observable Attributes,Team Work,financial-adviser
4933,Observable Attributes,Commercial Acumen,financial-adviser
4934,Observable Attributes,Thoroughness,financial-adviser
4935,Referenceable Experience,Analysis,financial-adviser
4936,Observable Attributes,Written Communication,financial-adviser
4937,Observable Attributes,Autonomy,financial-adviser
4938,Observable Attributes,Time Management,financial-adviser
4939,Observable Attributes,Willingness to Learn,financial-adviser
4940,Observable Attributes,Organised,financial-adviser
4941,Referenceable Experience,Microsoft Office,financial-adviser
4942,Observable Attributes,Multitasking,financial-adviser
4943,Observable Attributes,Problem Solving,financial-adviser
4944,Referenceable Experience,Data Governance,governance-consultant
4945,Referenceable Experience,Business Process Analysis,governance-consultant
4946,Referenceable Experience,Knime,governance-consultant
4947,Referenceable Experience,Corporate Governance,governance-consultant
4948,Observable Attributes,Digital Literacy,governance-consultant
4949,Referenceable Experience,Business Process Management,governance-consultant
4950,Referenceable Experience,Data Strategy,governance-consultant
4951,Referenceable Experience,Proposal Writing,governance-consultant
4952,Referenceable Experience,Financial Services Industry,governance-consultant
4953,Referenceable Experience,Spatial Data,governance-consultant
4954,Referenceable Experience,Wound Management,governance-consultant
4955,Referenceable Experience,Master Data Management,governance-consultant
4956,Referenceable Experience,Spatial Science,governance-consultant
4957,Referenceable Experience,Data Quality,governance-consultant
4958,Referenceable Experience,Pre Sales,governance-consultant
4959,Referenceable Experience,Six Sigma,governance-consultant
4960,Referenceable Experience,Microsoft Power Business Intelligence,governance-consultant
4961,Referenceable Experience,SQL Query Language,governance-consultant
4962,Referenceable Experience,Aged Care,governance-consultant
4963,Verifiable Attainments,AHPRA Registration,governance-consultant
4964,Referenceable Experience,Banking Industry,banking-specialist
4965,Referenceable Experience,Contact Centre Services,banking-specialist
4966,Referenceable Experience,Customer Service,banking-specialist
4967,Referenceable Experience,Retail Banking,banking-specialist
4968,Observable Attributes,Conceptual Thinking,banking-specialist
4969,Observable Attributes,Phone Etiquette,banking-specialist
4970,Observable Attributes,Written Communication,banking-specialist
4971,Observable Attributes,Resilience,banking-specialist
4972,Observable Attributes,Communication Skills,banking-specialist
4973,Observable Attributes,Self Motivation,banking-specialist
4974,Observable Attributes,Computer Literacy,banking-specialist
4975,Observable Attributes,Financial Acumen,retention-manager
4976,Referenceable Experience,Customer Success Management,retention-manager
4977,Referenceable Experience,Insurance Broking,retention-manager
4978,Referenceable Experience,Customer Success,retention-manager
4979,Observable Attributes,Empathy,retention-manager
4980,Referenceable Experience,Data Visualisation Tool,retention-manager
4981,Referenceable Experience,CRM Software,retention-manager
4982,Referenceable Experience,Outbound Call Centre,retention-manager
4983,Referenceable Experience,Salesforce Marketing Cloud,retention-manager
4984,Referenceable Experience,Bilingual,retention-manager
4985,Observable Attributes,Problem Solving,retention-manager
4986,Referenceable Experience,Marketing Automation,retention-manager
4987,Referenceable Experience,Analysis,retention-manager
4988,Referenceable Experience,Team Leadership,retention-manager
4989,Referenceable Experience,Microsoft Power Business Intelligence,retention-manager
4990,Referenceable Experience,Email Marketing,retention-manager
4991,Referenceable Experience,Commerce,retention-manager
4992,Referenceable Experience,Leadership,retention-manager
4993,Referenceable Experience,Customer Service,retention-manager
4994,Referenceable Experience,Software as A Service,retention-manager
4995,Referenceable Experience,Project Control,controls-analyst
4996,Referenceable Experience,Microsoft Power Business Intelligence,controls-analyst
4997,Referenceable Experience,Commerce,controls-analyst
4998,Referenceable Experience,Oil and Gas Industry,controls-analyst
4999,Referenceable Experience,Business Administration,controls-analyst
5000,Referenceable Experience,Oracle Primavera,controls-analyst
5001,Referenceable Experience,Primavera P6 Scheduling Software,controls-analyst
5002,Observable Attributes,Analytical Thinking,controls-analyst
5003,Referenceable Experience,Earned Value Management,controls-analyst
5004,Referenceable Experience,Accounting Principles,controls-analyst
5005,Referenceable Experience,Microsoft Office,controls-analyst
5006,Observable Attributes,Communication Skills,controls-analyst
5007,Observable Attributes,Learning Aptitude,controls-analyst
5008,Referenceable Experience,Financial Reporting,controls-analyst
5009,Observable Attributes,Problem Solving,controls-analyst
5010,Observable Attributes,Numeracy,controls-analyst
5011,Observable Attributes,Willingness to Learn,controls-analyst
5012,Observable Attributes,Results Focused,controls-analyst
5013,Observable Attributes,Thoroughness,controls-analyst
5014,Referenceable Experience,Analysis,controls-analyst
5015,Referenceable Experience,Mortgage Broking,mortgage-broker
5016,Referenceable Experience,Lending,mortgage-broker
5017,Referenceable Experience,Customer Service,mortgage-broker
5018,Observable Attributes,Learning Aptitude,mortgage-broker
5019,Observable Attributes,Negotiation,mortgage-broker
5020,Observable Attributes,Communication Skills,mortgage-broker
5021,Observable Attributes,Self Motivation,mortgage-broker
5022,Observable Attributes,Organised,mortgage-broker
5023,Observable Attributes,Thoroughness,mortgage-broker
5024,Observable Attributes,Autonomy,mortgage-broker
5025,Observable Attributes,Written Communication,mortgage-broker
5026,Observable Attributes,Time Management,mortgage-broker
5027,Observable Attributes,Resilience,mortgage-broker
5028,Observable Attributes,Computer Literacy,mortgage-broker
5029,Observable Attributes,Problem Solving,mortgage-broker
5030,Referenceable Experience,Technical Problem Solving,desk-assistant
5031,Referenceable Experience,Twitter,desk-assistant
5032,Referenceable Experience,Configuration Management Tool,desk-assistant
5033,Referenceable Experience,Multimedia,desk-assistant
5034,Referenceable Experience,Bitbucket,desk-assistant
5035,Referenceable Experience,Google Workspace,desk-assistant
5036,Referenceable Experience,Microsoft Windows,desk-assistant
5037,Referenceable Experience,Systems Administration,desk-assistant
5038,Referenceable Experience,Atlassian Confluence,desk-assistant
5039,Referenceable Experience,Software Development,desk-assistant
5040,Referenceable Experience,Scripting,desk-assistant
5041,Referenceable Experience,Linux,desk-assistant
5042,Referenceable Experience,CI/CD,desk-assistant
5043,Referenceable Experience,DevOps,desk-assistant
5044,Referenceable Experience,Adobe Photoshop,desk-assistant
5045,Referenceable Experience,Atlassian Jira,desk-assistant
5046,Referenceable Experience,Python Programming,desk-assistant
5047,Referenceable Experience,Customer Service,desk-assistant
5048,Referenceable Experience,Computing,desk-assistant
5049,Observable Attributes,Ability to Follow Direction,desk-assistant
5050,Referenceable Experience,Banking Industry,banking-manager
5051,Referenceable Experience,Lending,banking-manager
5052,Referenceable Experience,Digital Business,banking-manager
5053,Referenceable Experience,Financial Technology,banking-manager
5054,Referenceable Experience,Core Banking,banking-manager
5055,Referenceable Experience,Working Capital,banking-manager
5056,Referenceable Experience,Business Lending,banking-manager
5057,Referenceable Experience,Financial Analysis,banking-manager
5058,Observable Attributes,Stakeholder Management,banking-manager
5059,Referenceable Experience,Retail Banking,banking-manager
5060,Referenceable Experience,Team Leadership,banking-manager
5061,Observable Attributes,Prioritisation,banking-manager
5062,Observable Attributes,Negotiation,banking-manager
5063,Referenceable Experience,Leadership,banking-manager
5064,Observable Attributes,Problem Solving,banking-manager
5065,Observable Attributes,Communication Skills,banking-manager
5066,Observable Attributes,Time Management,banking-manager
5067,Referenceable Experience,Financial Analysis,relationship-executive
5068,Referenceable Experience,Client Acquisition,relationship-executive
5069,Referenceable Experience,Business Banking,relationship-executive
5070,Referenceable Experience,Lending,relationship-executive
5071,Observable Attributes,Commercial Acumen,relationship-executive
5072,Observable Attributes,Financial Acumen,relationship-executive
5073,Referenceable Experience,Commercial Lending,relationship-executive
5074,Referenceable Experience,Commerce,relationship-executive
5075,Referenceable Experience,Conflict Resolution,relationship-executive
5076,Observable Attributes,Self Motivation,relationship-executive
5077,Observable Attributes,Verbal Communication,relationship-executive
5078,Referenceable Experience,Leadership,relationship-executive
5079,Observable Attributes,Communication Skills,relationship-executive
5080,Referenceable Experience,Loan Processing,loan-processor
5081,Referenceable Experience,Mortgage Broking,loan-processor
5082,Referenceable Experience,Lending,loan-processor
5083,Referenceable Experience,Broker Support,loan-processor
5084,Referenceable Experience,Finance Industry,loan-processor
5085,Observable Attributes,Thoroughness,loan-processor
5086,Referenceable Experience,Data Entry,loan-processor
5087,Referenceable Experience,Customer Service,loan-processor
5088,Observable Attributes,Communication Skills,loan-processor
5089,Observable Attributes,Ability to Work At A Fast Pace,loan-processor
5090,Observable Attributes,Resilience,loan-processor
5091,Observable Attributes,Self Motivation,loan-processor
5092,Observable Attributes,Multitasking,loan-processor
5093,Observable Attributes,Organised,loan-processor
5094,Observable Attributes,Prioritisation,loan-processor
5095,Observable Attributes,Learning Aptitude,loan-processor
5096,Observable Attributes,Time Management,loan-processor
5097,Referenceable Experience,CRM Software,loan-processor
5098,Observable Attributes,Problem Solving,loan-processor
5099,Observable Attributes,Written Communication,loan-processor
5100,Referenceable Experience,Disability Employment Services,retention-officer
5101,Referenceable Experience,Employment Services,retention-officer
5102,Observable Attributes,Organised,retention-officer
5103,Referenceable Experience,Membership Retention,retention-officer
5104,Referenceable Experience,Union Organising,retention-officer
5105,Referenceable Experience,Mathematics,retention-officer
5106,Referenceable Experience,Administration,retention-officer
5107,Referenceable Experience,Microsoft Office,retention-officer
5108,Observable Attributes,Attentive Listening,retention-officer
5109,Observable Attributes,Adaptability,retention-officer
5110,Referenceable Experience,Microsoft Products,retention-officer
5111,Observable Attributes,Computer Literacy,retention-officer
5112,Referenceable Experience,Automotive Industry,retention-officer
5113,Observable Attributes,Learning Aptitude,retention-officer
5114,Observable Attributes,Communication Skills,retention-officer
5115,Referenceable Experience,CRM Software,retention-officer
5116,Observable Attributes,Phone Etiquette,retention-officer
5117,Observable Attributes,Rapport Building,retention-officer
5118,Referenceable Experience,Working with Children,retention-officer
5119,Observable Attributes,Team Work,retention-officer
5120,Referenceable Experience,Securitisation,treasurer
5121,Referenceable Experience,Treasury Operation,treasurer
5122,Referenceable Experience,Foreign Exchange,treasurer
5123,Referenceable Experience,Financial Markets,treasurer
5124,Verifiable Attainments,CPA Australia Membership,treasurer
5125,Verifiable Attainments,Chartered Accountants Australia and New Zealand Membership,treasurer
5126,Referenceable Experience,Financial Risk,treasurer
5127,Referenceable Experience,Corporate Finance,treasurer
5128,Referenceable Experience,Corporate Governance,treasurer
5129,Referenceable Experience,Financial Modelling,treasurer
5130,Observable Attributes,Strategic Thinking,treasurer
5131,Referenceable Experience,Financial Reporting,treasurer
5132,Referenceable Experience,Not-for-Profit,treasurer
5133,Observable Attributes,Financial Acumen,treasurer
5134,Observable Attributes,Rapport Building,treasurer
5135,Referenceable Experience,Analysis,treasurer
5136,Referenceable Experience,Commerce,treasurer
5137,Referenceable Experience,Leadership,treasurer
5138,Observable Attributes,Problem Solving,treasurer
5139,Observable Attributes,Communication Skills,treasurer
5140,Referenceable Experience,Home Lending,banking-adviser
5141,Observable Attributes,Communication Skills,banking-adviser
5142,Referenceable Experience,Lending,lending-specialist
5143,Referenceable Experience,Mortgage Lending,lending-specialist
5144,Referenceable Experience,Retail Banking,lending-specialist
5145,Referenceable Experience,Brokering,lending-specialist
5146,Referenceable Experience,Accreditation,lending-specialist
5147,Referenceable Experience,Credit Assessment,lending-specialist
5148,Referenceable Experience,Credit Risk,lending-specialist
5149,Referenceable Experience,Customer Service,lending-specialist
5150,Observable Attributes,Multitasking,lending-specialist
5151,Observable Attributes,Communication Skills,lending-specialist
5152,Observable Attributes,Time Management,lending-specialist
5153,Observable Attributes,Computer Literacy,lending-specialist
5154,Observable Attributes,Thoroughness,lending-specialist
5155,Observable Attributes,Resilience,lending-specialist
5156,Observable Attributes,Problem Solving,lending-specialist
5157,Observable Attributes,Autonomy,lending-specialist
5158,Verifiable Attainments,Security Licence,control-officer
5159,Verifiable Attainments,First Aid Certificate,control-officer
5160,Referenceable Experience,Trade Compliance,control-officer
5161,Referenceable Experience,Defence Industry,control-officer
5162,Referenceable Experience,Control Room,control-officer
5163,Observable Attributes,Computer Literacy,control-officer
5164,Referenceable Experience,Customer Service,control-officer
5165,Verifiable Attainments,MSIC Card,control-officer
5166,Verifiable Attainments,Drivers Licence,control-officer
5167,Verifiable Attainments,Construction Induction White Card,control-officer
5168,Referenceable Experience,Conflict Resolution,control-officer
5169,Observable Attributes,Negotiation,control-officer
5170,Observable Attributes,Written Communication,control-officer
5171,Observable Attributes,Autonomy,control-officer
5172,Observable Attributes,Communication Skills,control-officer
5173,Observable Attributes,Organised,control-officer
5174,Observable Attributes,Results Focused,control-officer
5175,Observable Attributes,Time Management,control-officer
5176,Referenceable Experience,Microsoft Office,control-officer
5177,Observable Attributes,Multitasking,control-officer
5178,Referenceable Experience,Lending,lending-analyst
5179,Referenceable Experience,Financial Statements,lending-analyst
5180,Observable Attributes,Respectful,lending-analyst
5181,Referenceable Experience,Credit Assessment,lending-analyst
5182,Referenceable Experience,Risk Frameworks,lending-analyst
5183,Referenceable Experience,Microsoft Windows,lending-analyst
5184,Referenceable Experience,Database Programming,lending-analyst
5185,Observable Attributes,Numeracy,lending-analyst
5186,Referenceable Experience,Risk Assessment,lending-analyst
5187,Referenceable Experience,IBM Cognos,lending-analyst
5188,Referenceable Experience,Private Equity,lending-analyst
5189,Referenceable Experience,Mortgage Broking,lending-analyst
5190,Referenceable Experience,Property Development,lending-analyst
5191,Referenceable Experience,Credit Risk,lending-analyst
5192,Referenceable Experience,Actuarial Studies,lending-analyst
5193,Referenceable Experience,Finance Industry,lending-analyst
5194,Referenceable Experience,Business Partnership,lending-analyst
5195,Referenceable Experience,Financial Modelling,lending-analyst
5196,Referenceable Experience,Tableau,lending-analyst
5197,Observable Attributes,Solutions Focused,lending-analyst
5198,Verifiable Attainments,CISM Certification,governance-risk-and-compliance-consultant
5199,Verifiable Attainments,Cissp Certificate,governance-risk-and-compliance-consultant
5200,Referenceable Experience,Cybersecurity,governance-risk-and-compliance-consultant
5201,Verifiable Attainments,Thai Certified Investment and Securities Analyst,governance-risk-and-compliance-consultant
5202,Referenceable Experience,ISO 27001,governance-risk-and-compliance-consultant
5203,Referenceable Experience,Information Security,governance-risk-and-compliance-consultant
5204,Referenceable Experience,Security Assessment,governance-risk-and-compliance-consultant
5205,Referenceable Experience,Information Technology Services,governance-risk-and-compliance-consultant
5206,Referenceable Experience,Accreditation,governance-risk-and-compliance-consultant
5207,Referenceable Experience,Incident Response,governance-risk-and-compliance-consultant
5208,Referenceable Experience,Security Strategy,governance-risk-and-compliance-consultant
5209,Referenceable Experience,Governance Risk and Compliance,governance-risk-and-compliance-consultant
5210,Referenceable Experience,Cybersecurity Technologies,governance-risk-and-compliance-consultant
5211,Referenceable Experience,Content Writing,governance-risk-and-compliance-consultant
5212,Verifiable Attainments,OffSec Certified Professional Certificate,governance-risk-and-compliance-consultant
5213,Referenceable Experience,Product Marketing,governance-risk-and-compliance-consultant
5214,Referenceable Experience,Security Risk Management,governance-risk-and-compliance-consultant
5215,Referenceable Experience,Middleware,governance-risk-and-compliance-consultant
5216,Referenceable Experience,Protective Security,governance-risk-and-compliance-consultant
5217,Referenceable Experience,Industry Knowledge,governance-risk-and-compliance-consultant
5218,Referenceable Experience,Spoken English,model
5219,Referenceable Experience,Post Natal Care,model
5220,Referenceable Experience,Risk Governance,model
5221,Referenceable Experience,Auslan,model
5222,Referenceable Experience,Financial Services Law,model
5223,Referenceable Experience,Financial Risk,model
5224,Referenceable Experience,Midwifery,model
5225,Referenceable Experience,Engineering Practice,model
5226,Observable Attributes,Open Minded,model
5227,Observable Attributes,Ethical Standards,model
5228,Referenceable Experience,Compliance Management,model
5229,Referenceable Experience,Design Pattern,model
5230,Observable Attributes,Grammar,model
5231,Verifiable Attainments,AHPRA Registration,model
5232,Referenceable Experience,Commerce,model
5233,Observable Attributes,Influencing Others,model
5234,Referenceable Experience,Child Protection Services,model
5235,Observable Attributes,Team Work,model
5236,Referenceable Experience,Working with Children,model
5237,Observable Attributes,Communication Skills,model
5238,Observable Attributes,Thoroughness,customer-adviser
5239,Referenceable Experience,Finance Industry,customer-adviser
5240,Referenceable Experience,Customer Service,customer-adviser
5241,Referenceable Experience,Commercial Lending,relationship-director
5242,Referenceable Experience,Lending,relationship-director
5243,Referenceable Experience,Financial Markets,relationship-director
5244,Referenceable Experience,Credit Analysis,relationship-director
5245,Observable Attributes,Financial Acumen,relationship-director
5246,Observable Attributes,Results Focused,relationship-director
5247,Referenceable Experience,Real Estate,relationship-director
5248,Observable Attributes,Logical Thinking,relationship-director
5249,Observable Attributes,Attentive Listening,relationship-director
5250,Referenceable Experience,Customer Service,relationship-director
5251,Observable Attributes,Communication Skills,relationship-director
5252,Observable Attributes,Punctual,bank-teller
5253,Observable Attributes,Multitasking,bank-teller
5254,Observable Attributes,Self Motivation,bank-teller
5255,Observable Attributes,Resilience,bank-teller
5256,Referenceable Experience,Microsoft Office,bank-teller
5257,Observable Attributes,Organised,bank-teller
5258,Referenceable Experience,Cash Handling,bank-teller
5259,Referenceable Experience,Computer Software,bank-teller
5260,Observable Attributes,Time Management,bank-teller
5261,Observable Attributes,Financial Acumen,bank-teller
5262,Referenceable Experience,Mathematics,bank-teller
5263,Referenceable Experience,Customer Service,bank-teller
5264,Referenceable Experience,Anti Money Laundering & Counter Terrorism Financing,bank-teller
5265,Observable Attributes,Communication Skills,bank-teller
5266,Referenceable Experience,English,bank-teller
5267,Referenceable Experience,Accounting,bank-teller
5268,Observable Attributes,Integrity,bank-teller
5269,Referenceable Experience,Retail,bank-teller
5270,Referenceable Experience,Commerce,bank-teller
5271,Observable Attributes,Computer Literacy,bank-teller
5272,Referenceable Experience,Trade Compliance,review-analyst
5273,Referenceable Experience,HR Policies,review-analyst
5274,Referenceable Experience,Financial Services Industry,review-analyst
5275,Referenceable Experience,Time Keeping,review-analyst
5276,Referenceable Experience,Root Cause Analysis,review-analyst
5277,Referenceable Experience,SAP Software,review-analyst
5278,Observable Attributes,Proactive Attitude,review-analyst
5279,Observable Attributes,Thoroughness,review-analyst
5280,Observable Attributes,Communication Skills,review-analyst
5281,Observable Attributes,Problem Solving,review-analyst
5282,Observable Attributes,Autonomy,review-analyst
5283,Referenceable Experience,Commerce,compliance-analyst
5284,Referenceable Experience,Compliance Management,compliance-analyst
5285,Referenceable Experience,ISO 27001,compliance-analyst
5286,Referenceable Experience,Financial Services Industry,compliance-analyst
5287,Referenceable Experience,Cybersecurity,compliance-analyst
5288,Referenceable Experience,Information Security,compliance-analyst
5289,Referenceable Experience,Analysis,compliance-analyst
5290,Observable Attributes,Critical Thinking,compliance-analyst
5291,Observable Attributes,Communication Skills,compliance-analyst
5292,Referenceable Experience,Computer Science,compliance-analyst
5293,Referenceable Experience,Microsoft Excel,compliance-analyst
5294,Observable Attributes,Autonomy,compliance-analyst
5295,Observable Attributes,Time Management,compliance-analyst
5296,Observable Attributes,Written Communication,compliance-analyst
5297,Observable Attributes,Multitasking,compliance-analyst
5298,Observable Attributes,Problem Solving,compliance-analyst
5299,Observable Attributes,Organised,compliance-analyst
5300,Observable Attributes,Thoroughness,compliance-analyst
5301,Referenceable Experience,Mortgage Lending,lending-officer
5302,Referenceable Experience,Financial Statements,lending-officer
5303,Referenceable Experience,Lending,lending-officer
5304,Referenceable Experience,Credit Assessment,lending-officer
5305,Referenceable Experience,Financial Services Industry,lending-officer
5306,Referenceable Experience,Finance Industry,lending-officer
5307,Observable Attributes,Respectful,lending-officer
5308,Referenceable Experience,Conflict Resolution,lending-officer
5309,Referenceable Experience,Retail Banking,lending-officer
5310,Observable Attributes,Learning Aptitude,lending-officer
5311,Referenceable Experience,Credit Risk,lending-officer
5312,Referenceable Experience,Microsoft Products,lending-officer
5313,Referenceable Experience,Lending Support,lending-officer
5314,Observable Attributes,Time Management,lending-officer
5315,Observable Attributes,Rapport Building,lending-officer
5316,Observable Attributes,Willingness to Learn,lending-officer
5317,Referenceable Experience,Training Facilitation,lending-officer
5318,Referenceable Experience,Financial Systems,lending-officer
5319,Referenceable Experience,Relationship Management,lending-officer
5320,Referenceable Experience,Customer Service,lending-officer
5321,Referenceable Experience,Compliance Management,compliance-adviser
5322,Referenceable Experience,Chain of Responsibility,compliance-adviser
5323,Referenceable Experience,Resources Industry,compliance-adviser
5324,Observable Attributes,Communication Skills,compliance-adviser
5325,Referenceable Experience,Accreditation,compliance-adviser
5326,Observable Attributes,Thoroughness,compliance-adviser
5327,Observable Attributes,Adaptability,compliance-adviser
5328,Observable Attributes,Organised,compliance-adviser
5329,Observable Attributes,Time Management,compliance-adviser
5330,Observable Attributes,Multitasking,compliance-adviser
5331,Observable Attributes,Computer Literacy,compliance-adviser
5332,Observable Attributes,Written Communication,compliance-adviser
5333,Referenceable Experience,Analysis,compliance-adviser
5334,Referenceable Experience,Microsoft Office,compliance-adviser
5335,Observable Attributes,Autonomy,compliance-adviser
5336,Observable Attributes,Problem Solving,compliance-adviser
5337,Referenceable Experience,Customer Service,compliance-adviser
5338,Referenceable Experience,Loan Processing,loan-administrator
5339,Observable Attributes,Customer Oriented,loan-administrator
5340,Referenceable Experience,Lending,loan-administrator
5341,Observable Attributes,Confidentiality,loan-administrator
5342,Observable Attributes,Organised,loan-administrator
5343,Observable Attributes,Multitasking,loan-administrator
5344,Observable Attributes,Thoroughness,loan-administrator
5345,Observable Attributes,Learning Aptitude,loan-administrator
5346,Observable Attributes,Proactive Attitude,loan-administrator
5347,Observable Attributes,Autonomy,loan-administrator
5348,Referenceable Experience,Microsoft Office,loan-administrator
5349,Observable Attributes,Adaptability,loan-administrator
5350,Observable Attributes,Computer Literacy,loan-administrator
5351,Referenceable Experience,Analysis,loan-administrator
5352,Referenceable Experience,Administration,loan-administrator
5353,Observable Attributes,Communication Skills,loan-administrator
5354,Observable Attributes,Willingness to Learn,loan-administrator
5355,Observable Attributes,Written Communication,loan-administrator
5356,Observable Attributes,Resilience,loan-administrator
5357,Observable Attributes,Time Management,loan-administrator
5358,Referenceable Experience,Asset Finance,settlements-officer
5359,Referenceable Experience,Customer Service,settlements-officer
5360,Observable Attributes,Thoroughness,settlements-officer
5361,Referenceable Experience,Finance Industry,settlements-officer
5362,Observable Attributes,Ability to Work At A Fast Pace,settlements-officer
5363,Observable Attributes,Communication Skills,settlements-officer
5364,Observable Attributes,Numeracy,settlements-officer
5365,Observable Attributes,Time Management,settlements-officer
5366,Referenceable Experience,Data Entry,settlements-officer
5367,Referenceable Experience,Microsoft Office,settlements-officer
5368,Observable Attributes,Problem Solving,settlements-officer
5369,Observable Attributes,Prioritisation,settlements-officer
5370,Observable Attributes,Resilience,settlements-officer
5371,Observable Attributes,Phone Etiquette,settlements-officer
5372,Observable Attributes,Team Work,settlements-officer
5373,Observable Attributes,Organised,settlements-officer
5374,Observable Attributes,Willingness to Learn,settlements-officer
5375,Observable Attributes,Written Communication,settlements-officer
5376,Observable Attributes,Self Motivation,settlements-officer
5377,Observable Attributes,Multitasking,settlements-officer
5378,Referenceable Experience,Lending,lending-manager
5379,Referenceable Experience,Business Lending,lending-manager
5380,Referenceable Experience,Mortgage Broking,lending-manager
5381,Referenceable Experience,Property Valuation,lending-manager
5382,Referenceable Experience,Credit Analysis,lending-manager
5383,Referenceable Experience,Risk Appetite,lending-manager
5384,Referenceable Experience,Financial Statements,lending-manager
5385,Verifiable Attainments,Tier 2 Rg146 Accreditation,lending-manager
5386,Referenceable Experience,Client Engagement,lending-manager
5387,Referenceable Experience,Customer Management,lending-manager
5388,Referenceable Experience,Financial Data,lending-manager
5389,Referenceable Experience,Valuation Principles,lending-manager
5390,Referenceable Experience,Mortgage Lending,lending-manager
5391,Referenceable Experience,Asset Finance,lending-manager
5392,Referenceable Experience,Funding,lending-manager
5393,Referenceable Experience,Commercial Lending,lending-manager
5394,Referenceable Experience,Property Development,lending-manager
5395,Referenceable Experience,Relationship Management,lending-manager
5396,Referenceable Experience,Retail Banking,lending-manager
5397,Referenceable Experience,Finance Industry,lending-manager
5398,Referenceable Experience,Communication Management,settlements-manager
5399,Referenceable Experience,Collateral Management,settlements-manager
5400,Referenceable Experience,Corporate Actions,settlements-manager
5401,Referenceable Experience,Stockbroking,settlements-manager
5402,Referenceable Experience,Trauma Informed Practice,settlements-manager
5403,Referenceable Experience,Lending,settlements-manager
5404,Referenceable Experience,Client Management,settlements-manager
